detector,BER,errors,P_miss,P_FA,runtime_seconds,runtime_seconds_per_1000_bits,viterbi_memory_taps,viterbi_state_count,fixed_threshold,lambda_h0,lambda_h1,point_kind,threshold_variable,threshold_value,experiment_id,experiment,ts,memory,physical_memory_taps,memory_hit_probability_target,memory_achieved_hit_probability,n_bits,N_Tx,p_one
legendre,0.16142,16142,0.16848350764279968,0.1544351630867144,210.80787743604742,2.1080787743604743,,,,,,operating_point,expected_isi_llr,0.0,figure_3_ts_sweep__ts0p2-0p3-0p4-0p5__memERFCpHit0p75__nbits100000__ntx100__seed2026__vmt25__svmt25,ts_sweep,0.2,3.6,18,0.75,0.7537652254250679,100000,100,0.5
viterbi,0.1741,17410,0.17946500402252616,0.1687947494033413,214.57252800907008,2.145725280090701,18.0,131072.0,,,,operating_point,,,figure_3_ts_sweep__ts0p2-0p3-0p4-0p5__memERFCpHit0p75__nbits100000__ntx100__seed2026__vmt25__svmt25,ts_sweep,0.2,3.6,18,0.75,0.7537652254250679,100000,100,0.5
legendre_viterbi,0.08459,8459,0.08260257441673372,0.08655529037390612,455.56404978595674,4.555640497859567,18.0,131072.0,,,,operating_point,,,figure_3_ts_sweep__ts0p2-0p3-0p4-0p5__memERFCpHit0p75__nbits100000__ntx100__seed2026__vmt25__svmt25,ts_sweep,0.2,3.6,18,0.75,0.7537652254250679,100000,100,0.5
legendre_viterbi_strong_gpu_v2,0.07837,7837,0.08143604183427192,0.07533810660302306,1153.3918468721677,11.533918468721676,18.0,131072.0,,,,operating_point,,,figure_3_ts_sweep__ts0p2-0p3-0p4-0p5__memERFCpHit0p75__nbits100000__ntx100__seed2026__vmt25__svmt25,ts_sweep,0.2,3.6,18,0.75,0.7537652254250679,100000,100,0.5
fixed_threshold,0.27754,27754,0.3435840707964602,0.21223150357995227,0.02090674894861877,0.0002090674894861877,,,15.566213578088375,12.29135,19.376749999999998,operating_point,n_rx,15.566213578088375,figure_3_ts_sweep__ts0p2-0p3-0p4-0p5__memERFCpHit0p75__nbits100000__ntx100__seed2026__vmt25__svmt25,ts_sweep,0.2,3.6,18,0.75,0.7537652254250679,100000,100,0.5
legendre,0.08075,8075,0.0744971842316975,0.08693317422434367,140.4718984880019,1.404718984880019,,,,,,operating_point,expected_isi_llr,0.0,figure_3_ts_sweep__ts0p2-0p3-0p4-0p5__memERFCpHit0p75__nbits100000__ntx100__seed2026__vmt25__svmt25,ts_sweep,0.3,3.5999999999999996,12,0.75,0.7537652254250679,100000,100,0.5
viterbi,0.07049,7049,0.07306918744971842,0.06793953858393,5.788811281090602,0.05788811281090602,12.0,2048.0,,,,operating_point,,,figure_3_ts_sweep__ts0p2-0p3-0p4-0p5__memERFCpHit0p75__nbits100000__ntx100__seed2026__vmt25__svmt25,ts_sweep,0.3,3.5999999999999996,12,0.75,0.7537652254250679,100000,100,0.5
legendre_viterbi,0.02653,2653,0.024698310539018505,0.028341288782816228,144.9398977078963,1.449398977078963,12.0,2048.0,,,,operating_point,,,figure_3_ts_sweep__ts0p2-0p3-0p4-0p5__memERFCpHit0p75__nbits100000__ntx100__seed2026__vmt25__svmt25,ts_sweep,0.3,3.5999999999999996,12,0.75,0.7537652254250679,100000,100,0.5
legendre_viterbi_strong_gpu_v2,0.02368,2368,0.02417538213998391,0.02319013524264121,745.5530227560084,7.455530227560085,12.0,2048.0,,,,operating_point,,,figure_3_ts_sweep__ts0p2-0p3-0p4-0p5__memERFCpHit0p75__nbits100000__ntx100__seed2026__vmt25__svmt25,ts_sweep,0.3,3.5999999999999996,12,0.75,0.7537652254250679,100000,100,0.5
fixed_threshold,0.17695,17695,0.23256234915526952,0.12195704057279236,0.024515004828572273,0.0002451500482857228,,,15.203259764652403,10.447949999999999,21.22015,operating_point,n_rx,15.203259764652403,figure_3_ts_sweep__ts0p2-0p3-0p4-0p5__memERFCpHit0p75__nbits100000__ntx100__seed2026__vmt25__svmt25,ts_sweep,0.3,3.5999999999999996,12,0.75,0.7537652254250679,100000,100,0.5
legendre,0.04426,4426,0.03405068382944489,0.05435560859188544,104.58099598903209,1.0458099598903208,,,,,,operating_point,expected_isi_llr,0.0,figure_3_ts_sweep__ts0p2-0p3-0p4-0p5__memERFCpHit0p75__nbits100000__ntx100__seed2026__vmt25__svmt25,ts_sweep,0.4,3.6,9,0.75,0.7537652254250679,100000,100,0.5
viterbi,0.02853,2853,0.029444891391794046,0.02762529832935561,1.7203905400820076,0.017203905400820077,9.0,256.0,,,,operating_point,,,figure_3_ts_sweep__ts0p2-0p3-0p4-0p5__memERFCpHit0p75__nbits100000__ntx100__seed2026__vmt25__svmt25,ts_sweep,0.4,3.6,9,0.75,0.7537652254250679,100000,100,0.5
legendre_viterbi,0.00976,976,0.008527755430410297,0.010978520286396181,105.23184069804847,1.0523184069804847,9.0,256.0,,,,operating_point,,,figure_3_ts_sweep__ts0p2-0p3-0p4-0p5__memERFCpHit0p75__nbits100000__ntx100__seed2026__vmt25__svmt25,ts_sweep,0.4,3.6,9,0.75,0.7537652254250679,100000,100,0.5
legendre_viterbi_strong_gpu_v2,0.0087,870,0.008809332260659695,0.008591885441527447,560.8040320139844,5.608040320139844,9.0,256.0,,,,operating_point,,,figure_3_ts_sweep__ts0p2-0p3-0p4-0p5__memERFCpHit0p75__nbits100000__ntx100__seed2026__vmt25__svmt25,ts_sweep,0.4,3.6,9,0.75,0.7537652254250679,100000,100,0.5
fixed_threshold,0.10558,10558,0.11244971842316975,0.09878679395385839,0.023922793101519346,0.00023922793101519347,,,14.819557907932667,9.072000000000001,22.5961,operating_point,n_rx,14.819557907932667,figure_3_ts_sweep__ts0p2-0p3-0p4-0p5__memERFCpHit0p75__nbits100000__ntx100__seed2026__vmt25__svmt25,ts_sweep,0.4,3.6,9,0.75,0.7537652254250679,100000,100,0.5
