experiment_id,N_Tx,detector,point_kind,threshold_variable,threshold_value,P_FA,P_miss
figures__ts0p2__memERFC3p6__pHit0p75__nbits100000__ntx25to250step25__seed2026__vmt25__svmt25,100,fixed_threshold,decision_boundary,n_rx,-5e-324,1.0,0.0
figures__ts0p2__memERFC3p6__pHit0p75__nbits100000__ntx25to250step25__seed2026__vmt25__svmt25,100,fixed_threshold,decision_boundary,n_rx,0.5,0.996678599840891,0.0
figures__ts0p2__memERFC3p6__pHit0p75__nbits100000__ntx25to250step25__seed2026__vmt25__svmt25,100,fixed_threshold,decision_boundary,n_rx,1.5,0.9866348448687352,0.0
figures__ts0p2__memERFC3p6__pHit0p75__nbits100000__ntx25to250step25__seed2026__vmt25__svmt25,100,fixed_threshold,decision_boundary,n_rx,2.5,0.9680389817024662,0.0001206757843925
figures__ts0p2__memERFC3p6__pHit0p75__nbits100000__ntx25to250step25__seed2026__vmt25__svmt25,100,fixed_threshold,decision_boundary,n_rx,3.5,0.9390811455847256,0.0005430410297666
figures__ts0p2__memERFC3p6__pHit0p75__nbits100000__ntx25to250step25__seed2026__vmt25__svmt25,100,fixed_threshold,decision_boundary,n_rx,4.5,0.899920445505171,0.0020112630732099
figures__ts0p2__memERFC3p6__pHit0p75__nbits100000__ntx25to250step25__seed2026__vmt25__svmt25,100,fixed_threshold,decision_boundary,n_rx,5.5,0.8503381066030231,0.0048873692679002
figures__ts0p2__memERFC3p6__pHit0p75__nbits100000__ntx25to250step25__seed2026__vmt25__svmt25,100,fixed_threshold,decision_boundary,n_rx,6.5,0.7943317422434367,0.0107200321802091
figures__ts0p2__memERFC3p6__pHit0p75__nbits100000__ntx25to250step25__seed2026__vmt25__svmt25,100,fixed_threshold,decision_boundary,n_rx,7.5,0.7318019093078759,0.0208165728077232
figures__ts0p2__memERFC3p6__pHit0p75__nbits100000__ntx25to250step25__seed2026__vmt25__svmt25,100,fixed_threshold,decision_boundary,n_rx,8.5,0.6628679395385839,0.0369469026548672
figures__ts0p2__memERFC3p6__pHit0p75__nbits100000__ntx25to250step25__seed2026__vmt25__svmt25,100,fixed_threshold,decision_boundary,n_rx,9.5,0.5921638822593477,0.0592115848753016
figures__ts0p2__memERFC3p6__pHit0p75__nbits100000__ntx25to250step25__seed2026__vmt25__svmt25,100,fixed_threshold,decision_boundary,n_rx,10.5,0.5216587112171838,0.0908286403861625
