experiment_id,ts,memory,N_Tx,detector,BER,physical_memory_taps,viterbi_memory_taps,memory_hit_probability_target,memory_achieved_hit_probability
figure_3_ts_sweep__ts0p2-0p3-0p4-0p5__memERFCpHit0p75__nbits100000__ntx100__seed2026__vmt25__svmt25,0.2,3.6,100,fixed_threshold,0.27754,18,,0.75,0.7537652254250679
figure_3_ts_sweep__ts0p2-0p3-0p4-0p5__memERFCpHit0p75__nbits100000__ntx100__seed2026__vmt25__svmt25,0.2,3.6,100,legendre,0.16142,18,,0.75,0.7537652254250679
figure_3_ts_sweep__ts0p2-0p3-0p4-0p5__memERFCpHit0p75__nbits100000__ntx100__seed2026__vmt25__svmt25,0.2,3.6,100,legendre_viterbi,0.08459,18,18.0,0.75,0.7537652254250679
figure_3_ts_sweep__ts0p2-0p3-0p4-0p5__memERFCpHit0p75__nbits100000__ntx100__seed2026__vmt25__svmt25,0.2,3.6,100,legendre_viterbi_strong_gpu_v2,0.07837,18,18.0,0.75,0.7537652254250679
figure_3_ts_sweep__ts0p2-0p3-0p4-0p5__memERFCpHit0p75__nbits100000__ntx100__seed2026__vmt25__svmt25,0.2,3.6,100,viterbi,0.1741,18,18.0,0.75,0.7537652254250679
figure_3_ts_sweep__ts0p2-0p3-0p4-0p5__memERFCpHit0p75__nbits100000__ntx100__seed2026__vmt25__svmt25,0.3,3.6,100,fixed_threshold,0.17695,12,,0.75,0.7537652254250679
figure_3_ts_sweep__ts0p2-0p3-0p4-0p5__memERFCpHit0p75__nbits100000__ntx100__seed2026__vmt25__svmt25,0.3,3.6,100,legendre,0.08075,12,,0.75,0.7537652254250679
figure_3_ts_sweep__ts0p2-0p3-0p4-0p5__memERFCpHit0p75__nbits100000__ntx100__seed2026__vmt25__svmt25,0.3,3.6,100,legendre_viterbi,0.02653,12,12.0,0.75,0.7537652254250679
figure_3_ts_sweep__ts0p2-0p3-0p4-0p5__memERFCpHit0p75__nbits100000__ntx100__seed2026__vmt25__svmt25,0.3,3.6,100,legendre_viterbi_strong_gpu_v2,0.02368,12,12.0,0.75,0.7537652254250679
figure_3_ts_sweep__ts0p2-0p3-0p4-0p5__memERFCpHit0p75__nbits100000__ntx100__seed2026__vmt25__svmt25,0.3,3.6,100,viterbi,0.07049,12,12.0,0.75,0.7537652254250679
figure_3_ts_sweep__ts0p2-0p3-0p4-0p5__memERFCpHit0p75__nbits100000__ntx100__seed2026__vmt25__svmt25,0.4,3.6,100,fixed_threshold,0.10558,9,,0.75,0.7537652254250679
figure_3_ts_sweep__ts0p2-0p3-0p4-0p5__memERFCpHit0p75__nbits100000__ntx100__seed2026__vmt25__svmt25,0.4,3.6,100,legendre,0.04426,9,,0.75,0.7537652254250679
figure_3_ts_sweep__ts0p2-0p3-0p4-0p5__memERFCpHit0p75__nbits100000__ntx100__seed2026__vmt25__svmt25,0.4,3.6,100,legendre_viterbi,0.00976,9,9.0,0.75,0.7537652254250679
figure_3_ts_sweep__ts0p2-0p3-0p4-0p5__memERFCpHit0p75__nbits100000__ntx100__seed2026__vmt25__svmt25,0.4,3.6,100,legendre_viterbi_strong_gpu_v2,0.0087,9,9.0,0.75,0.7537652254250679
figure_3_ts_sweep__ts0p2-0p3-0p4-0p5__memERFCpHit0p75__nbits100000__ntx100__seed2026__vmt25__svmt25,0.4,3.6,100,viterbi,0.02853,9,9.0,0.75,0.7537652254250679
figure_3_ts_sweep__ts0p2-0p3-0p4-0p5__memERFCpHit0p75__nbits100000__ntx100__seed2026__vmt25__svmt25,0.5,3.5,100,fixed_threshold,0.06439,7,,0.75,0.7503877912484213
figure_3_ts_sweep__ts0p2-0p3-0p4-0p5__memERFCpHit0p75__nbits100000__ntx100__seed2026__vmt25__svmt25,0.5,3.5,100,legendre,0.02316,7,,0.75,0.7503877912484213
figure_3_ts_sweep__ts0p2-0p3-0p4-0p5__memERFCpHit0p75__nbits100000__ntx100__seed2026__vmt25__svmt25,0.5,3.5,100,legendre_viterbi,0.00413,7,7.0,0.75,0.7503877912484213
figure_3_ts_sweep__ts0p2-0p3-0p4-0p5__memERFCpHit0p75__nbits100000__ntx100__seed2026__vmt25__svmt25,0.5,3.5,100,legendre_viterbi_strong_gpu_v2,0.00404,7,7.0,0.75,0.7503877912484213
figure_3_ts_sweep__ts0p2-0p3-0p4-0p5__memERFCpHit0p75__nbits100000__ntx100__seed2026__vmt25__svmt25,0.5,3.5,100,viterbi,0.01159,7,7.0,0.75,0.7503877912484213
